year,ratio
-10,1.
-11,0.4577588680772994
-10,0.44333700106380197
-5,0.30076117960729
0,0.2940616467079846
5,0.33024612433420497
10,0.3464163053270352
15,0.3463227146756946
20,0.3415856968030013
25,0.34818148310764285
30,0.3244883536714254
35,0.2996632533137853
40,0.2894942257676599
45,0.2917169175899255
50,0.28447627324742575
55,0.2916001542502901
60,0.31359010787374947
65,0.3176206758878082
70,0.31216388315686616
75,0.3177783459811762
80,0.2981772220295553
85,0.3014522848821165
90,0.31958604909096944
95,0.3307076825350511
100,0.3606507790597564
105,0.38443701167049443
110,0.37523883490432736
115,0.3927334715125558
120,0.3980038222150573
125,0.41337115017477005
130,0.4211882322925286
135,0.42924018650600315
140,0.4379379160574266
145,0.45386883805675887
150,0.45911174888803874
155,0.449689430920082
160,0.4294645989047666
165,0.4311378528363349
170,0.44132615493812216
175,0.44498382228344413
180,0.4561513872925618
185,0.452362824785612
190,0.4538507267303979
195,0.45774815889068154
200,0.4528999312673204
205,0.4451437393959417
210,0.4514570039410776
215,0.4653283698099402
220,0.5002444786514956
225,0.5276137026660108
230,0.5433130736249083
235,0.5553495293578244
240,0.5427560297443607
245,0.5645451897553051
250,0.611941142042994
255,0.6280746467640443
260,0.6200726607109989
265,0.6271524494439085
270,0.6360500949019171
275,0.631916909729517
280,0.6364054284666755
285,0.6299870345472063
290,0.6077520452348553
295,0.6112713590632874
300,0.5896474873488166
305,0.5602316247675926
310,0.5354800049676826
315,0.5248831456877656
320,0.5279879124691955
325,0.5260507872669318
330,0.5228473101522478
335,0.5187237331356003
340,0.5010663242134391
345,0.4743720587888671
350,0.472377949002181
